codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar,anio,mes
3.01.03.02.05.00.000,Servicios mantenimiento El Talar,"15.000,00","2.000,00","11.310,01","3.689,99","1.200,00","2.570,01","8.740,00",2017,7
3.01.03.03.01.00.000,Elect Gas Agua (facturas D. Social,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00",2017,7
3.01.03.03.02.00.000,Traslado y remis D. Social,"10.000,00","64,00","9.817,57","182,43","421,27","9.753,57","64,00",2017,7
3.01.03.03.03.00.000,Comunic. telefonica y Postales D. sOCIAL,"18.000,00","5.137,10","12.807,94","5.192,06","0,00","7.670,84","5.137,10",2017,7
3.01.03.03.04.00.000,Honorarios Profecionales D. Social,"200.000,00","27.925,00","160.615,00","39.385,00","0,00","132.690,00","27.925,00",2017,7
3.01.03.03.05.00.000,Servicios Mantenimiento D. Social,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00",2017,7
3.01.03.04.00.00.000,Alquiler Consultorio Centro Salud,"30.000,00","0,00","24.000,00","6.000,00","0,00","24.000,00","0,00",2017,7
3.01.03.05.00.00.000,Deudas Ejercicio Ant.,"338.000,00","0,00","337.276,82","723,18","0,00","337.276,82","0,00",2017,7
3.01.03.06.00.00.000,Credito Refuerzo Partida,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",2017,7
3.03.00.00.00.00.000,Tranferencias,"400.000,00","81.221,76","295.236,97","104.763,03","78.278,56","214.015,21","81.221,76",2017,7
3.03.05.00.00.00.000,Tranf.P/fINANCIA eROGACIONES cORRIENTES,"400.000,00","81.221,76","295.236,97","104.763,03","78.278,56","214.015,21","81.221,76",2017,7
3.03.05.02.01.00.000,Programa de Empleo M Ctro. Salud Centro,"241.000,00","53.914,60","193.961,93","47.038,07","51.421,40","140.047,33","53.914,60",2017,7
3.03.05.02.02.00.000,Programa Empleo M. Ctro. Salud El Talar,"100.000,00","17.200,00","59.800,00","40.200,00","14.200,00","42.600,00","17.200,00",2017,7
3.03.05.02.03.00.000,Programa Emp.Mun. D. Social,"59.000,00","10.107,16","41.475,04","17.524,96","12.657,16","31.367,88","10.107,16",2017,7
4.01.07.00.00.00.000,Bienes de Capital,"240.000,00","1.450,00","12.595,08","227.404,92","0,00","9.245,08","3.350,00",2017,7
4.01.07.10.01.00.000,Bienes de Capital Centro de Salud Centro,"50.000,00","1.450,00","12.595,08","37.404,92","0,00","9.245,08","3.350,00",2017,7
4.01.07.10.02.00.000,Bienes de Capital Centro de Salud El Talar,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
4.01.07.10.03.00.000,Bienes de Capital Desarrollo Social,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
4.01.07.10.04.00.000,Aparatos e instrumental,"90.000,00","0,00","0,00","90.000,00","0,00","0,00","0,00",2017,7
4.01.08.00.00.00.000,Trabajos Publicos,"550.000,00","57.393,99","106.511,17","443.488,83","4.200,00","49.117,18","57.393,99",2017,7
4.01.08.01.02.00.000,Por Administracion,"550.000,00","57.393,99","106.511,17","443.488,83","4.200,00","49.117,18","57.393,99",2017,7
4.01.08.01.02.01.000,Obra Amplicion Centro de Salud B§ cENTRO,"100.000,00","0,00","7.318,90","92.681,10","0,00","7.318,90","0,00",2017,7
4.01.08.01.02.02.000,o. Ampliacion C.Salud El Talar,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00",2017,7
4.01.08.01.02.03.000,OBRA AMPLIACION dESARROLLO sOCIAL,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00",2017,7
4.01.08.01.02.04.000,o Mant y Mejoras Centro Salud Centro,"150.000,00","57.124,00","89.485,29","60.514,71","2.500,00","32.361,29","57.124,00",2017,7
4.01.08.01.02.05.000,O. Mant y Mejoras Centro Salud EL Talar,"50.000,00","269,99","9.706,98","40.293,02","1.700,00","9.436,99","269,99",2017,7
4.01.08.01.02.06.000,O. Mantenimiento Desarrollo Social,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
5.00.00.00.00.00.000,No clasificados,"9530.000,00","703.390,58","4202.883,59","5327.116,41","80.522,91","3499.493,01","703.390,58",2017,7
5.01.00.00.00.00.000,Cuentas de Orden,"9530.000,00","703.390,58","4202.883,59","5327.116,41","80.522,91","3499.493,01","703.390,58",2017,7
5.01.01.00.00.00.000,No clasificadas,"9530.000,00","703.390,58","4202.883,59","5327.116,41","80.522,91","3499.493,01","703.390,58",2017,7
5.01.01.01.01.00.000,Fondo de Repara,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
5.01.01.01.02.00.000,Garantia de licitacion,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
5.01.01.02.01.00.000,Retencion 18% Aporte Personal,"6000.000,00","480.653,54","2595.367,35","3404.632,65","0,00","2114.713,81","480.653,54",2017,7
5.01.01.02.02.00.000,Retencion APROSS,"1500.000,00","160.120,85","974.994,08","525.005,92","0,00","814.873,23","160.120,85",2017,7
5.01.01.02.03.00.000,Retencio Seguro de Vida,"100.000,00","8.061,57","64.393,58","35.606,42","0,00","56.332,01","8.061,57",2017,7
5.01.01.02.04.00.000,Aporte Sindical,"800.000,00","47.566,00","233.828,50","566.171,50","0,00","186.262,50","47.566,00",2017,7
5.01.01.02.05.00.000,Retencion Telefonia Celular,"500.000,00","0,00","234.472,46","265.527,54","62.875,45","234.472,46","0,00",2017,7
5.01.01.02.06.00.000,Retencion prestamos personales,"200.000,00","0,00","53.312,23","146.687,77","0,00","53.312,23","0,00",2017,7
5.01.01.02.07.00.000,Retencion Seguro Particulares personal,"120.000,00","0,00","0,00","120.000,00","0,00","0,00","0,00",2017,7
5.01.01.02.08.00.000,Retenciones gastos judiciales,"60.000,00","0,00","0,00","60.000,00","0,00","0,00","0,00",2017,7
5.01.01.02.09.00.000,Retenciones Varias,"100.000,00","6.988,62","46.515,39","53.484,61","17.647,46","39.526,77","6.988,62",2017,7
5.01.01.02.10.00.000,Registro Anulacion Orden de Pago,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
6.00.00.00.00.00.000,Erogaciones corrientes,"1191.000,00","24.967,79","163.717,09","1027.282,91","1.821,87","112.066,65","51.650,44",2017,7
6.01.00.00.00.00.000,Funcionamiento,"1191.000,00","24.967,79","163.717,09","1027.282,91","1.821,87","112.066,65","51.650,44",2017,7
6.01.01.00.00.00.000,Personal,"1046.000,00","13.499,98","86.999,88","959.000,12","0,00","59.999,92","26.999,96",2017,7
6.01.01.01.01.00.000,Sueldos basicos,"384.000,00","10.000,00","66.000,00","318.000,00","0,00","46.000,00","20.000,00",2017,7
6.01.01.01.01.01.000,Autoridas Superiores Concejo Deliberante,"384.000,00","10.000,00","66.000,00","318.000,00","0,00","46.000,00","20.000,00",2017,7
6.01.01.01.01.01.001,Presidente del Concejo Deliberante,"240.000,00","2.000,00","12.000,00","228.000,00","0,00","8.000,00","4.000,00",2017,7
6.01.01.01.01.01.002,Concejales,"144.000,00","8.000,00","54.000,00","90.000,00","0,00","38.000,00","16.000,00",2017,7
6.01.01.01.02.00.000,Adicionales y Suplementos varios,"580.000,00","0,00","0,00","580.000,00","0,00","0,00","0,00",2017,7
6.01.01.01.02.01.000,Adicional no remunerativo,"580.000,00","0,00","0,00","580.000,00","0,00","0,00","0,00",2017,7
6.01.01.02.01.00.000,Retribuciones,"42.000,00","3.499,98","20.999,88","21.000,12","0,00","13.999,92","6.999,96",2017,7
6.01.01.02.01.01.000,Secretaria C.D,"42.000,00","3.499,98","20.999,88","21.000,12","0,00","13.999,92","6.999,96",2017,7
6.01.01.02.02.00.000,Adicionales y Suplementos Varios,"40.000,00","0,00","0,00","40.000,00","0,00","0,00","0,00",2017,7
6.01.01.02.02.01.000,Adicional no remunerativo,"40.000,00","0,00","0,00","40.000,00","0,00","0,00","0,00",2017,7
6.01.02.00.00.00.000,Bienes de Consumo,"20.000,00","3.708,83","19.006,08","993,92","948,29","15.242,25","3.763,83",2017,7
6.01.02.13.00.00.000,Bienes de Consumo C.D-,"20.000,00","3.708,83","19.006,08","993,92","948,29","15.242,25","3.763,83",2017,7
6.01.03.00.00.00.000,Servicio,"125.000,00","7.758,98","57.711,13","67.288,87","873,58","36.824,48","20.886,65",2017,7
6.01.03.19.01.00.000,aLQUILER inmuble C.D,"70.000,00","5.951,25","34.155,00","35.845,00","0,00","22.252,50","11.902,50",2017,7
6.01.03.19.02.00.000,cAPACITACION,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00",2017,7
6.01.03.19.03.00.000,OTROS,"10.000,00","1.807,73","7.556,13","2.443,87","873,58","6.571,98","984,15",2017,7
6.01.03.19.04.00.000,Est Investig y Asist Tecnica C.D.,"40.000,00","0,00","16.000,00","24.000,00","0,00","8.000,00","8.000,00",2017,7
7.00.00.00.00.00.000,Erogaciones de Capital,"50.000,00","0,00","6.698,70","43.301,30","0,00","6.698,70","0,00",2017,7
7.01.00.00.00.00.000,Inversion Fisica,"50.000,00","0,00","6.698,70","43.301,30","0,00","6.698,70","0,00",2017,7
7.01.07.00.00.00.000,Bienes de Capital,"50.000,00","0,00","6.698,70","43.301,30","0,00","6.698,70","0,00",2017,7
7.01.07.02.00.00.000,Muebles y Equipos de Oficina C.D,"50.000,00","0,00","6.698,70","43.301,30","0,00","6.698,70","0,00",2017,7
8.00.00.00.00.00.000,Erogaciones corrientes,"823.500,00","9.929,98","73.341,88","750.158,12","999,00","53.911,92","19.429,96",2017,7
8.01.00.00.00.00.000,Funcionamiento,"823.500,00","9.929,98","73.341,88","750.158,12","999,00","53.911,92","19.429,96",2017,7
8.01.01.00.00.00.000,Personal,"783.500,00","9.499,98","56.999,88","726.500,12","0,00","37.999,92","18.999,96",2017,7
8.01.01.01.01.00.000,Sueldos Basicos,"480.000,00","6.000,00","36.000,00","444.000,00","0,00","24.000,00","12.000,00",2017,7
8.01.01.01.01.01.000,Autoridades Sup T.C.,"480.000,00","6.000,00","36.000,00","444.000,00","0,00","24.000,00","12.000,00",2017,7
8.01.01.01.01.01.001,Presidente T. C.,"240.000,00","2.000,00","12.000,00","228.000,00","0,00","8.000,00","4.000,00",2017,7
8.01.01.01.01.01.002,Miembros T.C,"240.000,00","4.000,00","24.000,00","216.000,00","0,00","16.000,00","8.000,00",2017,7
8.01.01.01.02.00.000,Adicionales y suplementos Varios,"245.000,00","0,00","0,00","245.000,00","0,00","0,00","0,00",2017,7
8.01.01.01.02.01.000,Adicional no remunerativo,"245.000,00","0,00","0,00","245.000,00","0,00","0,00","0,00",2017,7
8.01.01.02.01.01.000,Secretaria T.C.,"28.500,00","3.499,98","20.999,88","7.500,12","0,00","13.999,92","6.999,96",2017,7
8.01.01.02.02.00.000,ADICIONALES Y SUP`LEMENTOS VARIOS,"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00",2017,7
8.01.01.02.02.01.000,ADICIONAL NO REMUNERATIVO,"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00",2017,7
8.01.02.00.00.00.000,Bienes de Consumo T.C.,"20.000,00","430,00","12.992,00","7.008,00","999,00","12.562,00","430,00",2017,7
8.01.02.14.00.00.000,Bienes de Consumo T.C,"20.000,00","430,00","12.992,00","7.008,00","999,00","12.562,00","430,00",2017,7
8.01.03.00.00.00.000,Servicios T.C,"20.000,00","0,00","3.350,00","16.650,00","0,00","3.350,00","0,00",2017,7
8.01.03.01.00.00.000,Capacitacion,"5.000,00","0,00","3.350,00","1.650,00","0,00","3.350,00","0,00",2017,7
8.01.03.02.00.00.000,Otros,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00",2017,7
8.01.03.03.00.00.000,Est Investigacion y asist Tecnica T.C.,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00",2017,7
9.00.00.00.00.00.000,Erogaciones de Capital,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
9.01.00.00.00.00.000,Inversion Fisica,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
9.01.07.00.00.00.000,Bienes de Capital,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
9.01.07.04.00.00.000,Muebles y Equipos de Oficina T.C,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,7
codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar,anio,mes
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"91610.320,00","12051.242,47","12051.242,47","79559.077,53","7445.875,36","7445.875,36","4605.367,11",2017,1
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76353.320,00","10313.372,21","10313.372,21","66039.947,79","6688.221,20","6688.221,20","3625.151,01",2017,1
1.01.01.00.00.00.000,PERSONAL,"49086.320,00","7309.388,88","7309.388,88","41776.931,12","6229.023,99","6229.023,99","1080.364,89",2017,1
1.01.01.01.01.00.000,SUELDOS BASICOS,"13203.907,00","0,00","0,00","13203.907,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","0,00","0,00","2527.296,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","0,00","0,00","405.432,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.01.015,Asesora Letrada,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.000,personal jerarquico,"1206.792,00","0,00","0,00","1206.792,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.001,CAPATAZ GENERAL             (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.002,JEFE DE DEP OBRAS PRIV CAT  (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.003,JEFE DEPARTAMENTO 24,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.004,JEFE DEPSRTAMENTO RENTAS Y TESORERIA 24,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.005,Jefe de Departamento Seguridad Ciudadana,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.006,JEFE Departamento - Contaduria (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.007,JEFE de Departamento Registro Civil (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.008,JEFE de Seccion II - Coordinacion (22),"119.100,00","0,00","0,00","119.100,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.009,JEFE DE SECCION I RENTAS 22,"119.100,00","0,00","0,00","119.100,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.02.011,Jefe de seccion administrativo 21,"118.092,00","0,00","0,00","118.092,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.03.000,PERSONAL SUPERIOR ADMINISTRATIVO,"234.312,00","0,00","0,00","234.312,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.03.001,ADMINISTRATIVO SUPERIOR I   (20),"117.120,00","0,00","0,00","117.120,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.03.002,Administrativo superior III (18),"117.192,00","0,00","0,00","117.192,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.04.000,PERSONAL AUXILIAR ADMINISTRATIVO,"668.731,00","0,00","0,00","668.731,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.04.002,AUXILIAR ADMINISTRATIVO I CAT 17,"348.156,00","0,00","0,00","348.156,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.04.003,Auxiliar Administrativo X (cat10),"312.192,00","0,00","0,00","312.192,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.04.004,Auxiliar Admnistrativo IX (cat9),"8.383,00","0,00","0,00","8.383,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.05.001,Administrativo de Ejecucion II Cat 8,"1280.448,00","0,00","0,00","1280.448,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.06.004,DOCENTE XI (CAT 11),"106.176,00","0,00","0,00","106.176,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.06.005,Docente IX (cat 9),"100.596,00","0,00","0,00","100.596,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.07.001,Tecnico I cat 18,"585.960,00","0,00","0,00","585.960,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.000,PERS. SUPERIOR DE MAEST. Y SERVICIOS GRALES.,"3978.696,00","0,00","0,00","3978.696,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.001,MAEST SERV GRALES.SUP I 17,"1856.832,00","0,00","0,00","1856.832,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.002,Maestr.y Serv grales Sup XVI(16),"789.684,00","0,00","0,00","789.684,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.003,MAEST SERV GRLES SUP V (15),"225.624,00","0,00","0,00","225.624,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.004,Maestr.Serv Grales Suo X (10),"905.364,00","0,00","0,00","905.364,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.09.005,Maestr. Serv. Grales Sup. IX,"201.192,00","0,00","0,00","201.192,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.10.000,Personal de Maestranza y Serv. Grales.,"2514.900,00","0,00","0,00","2514.900,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.10.001,Maestr. y Serv. Generales I (8),"2011.920,00","0,00","0,00","2011.920,00","0,00","0,00","0,00",2017,1
1.01.01.01.01.10.002,Maestr. Serv Grales II (8),"502.980,00","0,00","0,00","502.980,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"13595.000,00","0,00","0,00","13595.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.02.000,GASTOS DE REPRESENTACION INTEND Y SECRETARIOS,"520.000,00","0,00","0,00","520.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.03.000,ANTIGUEDAD,"3600.000,00","0,00","0,00","3600.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.04.000,TITULO,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.05.000,RESPONSABILIDAD JERARQUICA,"180.000,00","0,00","0,00","180.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.06.000,RIESGO E INSALUBRIDAD EN LAS TAREAS,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.07.000,SUBROGANCIA,"25.000,00","0,00","0,00","25.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.08.000,QUEBRANTO DE CAJA,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.09.000,OTROS SUPLEMENTOS,"3000.000,00","0,00","0,00","3000.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.10.000,ASISTENCIA PERFECTA Y PUNTUALIDAD,"3000.000,00","0,00","0,00","3000.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.11.000,RESPONSABILIDAD TECNICA,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.12.000,REFRIGERIO,"700.000,00","0,00","0,00","700.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.13.000,Adicional no remunerativo,"2000.000,00","0,00","0,00","2000.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.02.14.000,Bonificacion por Jbilacion,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.03.01.000,AGUINALDO PERSONAL PERMANENTE,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.04.00.000,APORTE PATRONAL JUBILATORIO,"5000.000,00","758.187,15","758.187,15","4241.812,85","0,00","0,00","758.187,15",2017,1
1.01.01.01.04.01.000,APORTE 20% P/PERSONAL PERMANENTE,"5000.000,00","758.187,15","758.187,15","4241.812,85","0,00","0,00","758.187,15",2017,1
1.01.01.01.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"1400.000,00","312.417,74","312.417,74","1087.582,26","0,00","0,00","312.417,74",2017,1
1.01.01.01.05.01.000,FONDO MEDICO ASISTENCIAL (apross),"900.000,00","312.417,74","312.417,74","587.582,26","0,00","0,00","312.417,74",2017,1
1.01.01.01.05.02.000,SEGUROS ART,"500.000,00","0,00","0,00","500.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.06.00.000,SUPLENCIAS Y LICENCIAS,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.06.01.000,PARA PAGO DE SUPLENCIAS Y LICENCIAS,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,1
1.01.01.01.07.00.000,DEUDAS PERSONAL PERMANENTE,"6100.000,00","6058.674,52","6058.674,52","41.325,48","6058.174,52","6058.174,52","500,00",2017,1
1.01.01.01.07.01.000,DEUDAS VARIAS,"6100.000,00","6058.674,52","6058.674,52","41.325,48","6058.174,52","6058.174,52","500,00",2017,1
1.01.01.01.08.00.000,CAPACITACION PERSONAL,"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.01.00.000,RETRIBUCIONES,"500.000,00","0,00","0,00","500.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.01.01.000,PERSONAL CONTRATADO,"500.000,00","0,00","0,00","500.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"450.000,00","0,00","0,00","450.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.02.01.000,ANTIGUEDAD,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.02.02.000,OTROS SUPLEMENTOS,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.02.03.000,Adicional no Remunerativo Pers. no permanente,"300.000,00","0,00","0,00","300.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.03.01.000,AGUINALDO PERSONAL NO PERMANENTE,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.04.00.000,APORTE PATRONAL JUBILATORIO,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.04.01.000,APORTE 20% PERSONAL NO PERMANENTE,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"70.000,00","3.059,00","3.059,00","66.941,00","0,00","0,00","3.059,00",2017,1
1.01.01.02.05.01.000,FONDO ASISTENCIAL(A.PRO.S.S.),"60.000,00","0,00","0,00","60.000,00","0,00","0,00","0,00",2017,1
1.01.01.02.05.02.000,SEGUROS AL PERSONAL,"10.000,00","3.059,00","3.059,00","6.941,00","0,00","0,00","3.059,00",2017,1
1.01.01.02.06.00.000,DEUDAS PERSONAL TEMPORARIO,"200.000,00","172.916,47","172.916,47","27.083,53","170.849,47","170.849,47","2.067,00",2017,1
1.01.01.02.06.01.000,DEUDAS VARIAS,"200.000,00","172.916,47","172.916,47","27.083,53","170.849,47","170.849,47","2.067,00",2017,1
1.01.01.03.00.00.000,SALARIO FAMILIAR,"1000.000,00","0,00","0,00","1000.000,00","0,00","0,00","0,00",2017,1
1.01.01.04.00.00.000,SERVICIOS EXTRAORDINARIOS,"400.000,00","0,00","0,00","400.000,00","0,00","0,00","0,00",2017,1
1.01.01.05.00.00.000,ASISTENCIA SOCIAL AL PERSONAL,"30.000,00","4.134,00","4.134,00","25.866,00","0,00","0,00","4.134,00",2017,1
1.01.01.06.00.00.000,CREDITO ADICIONAL P/INCREMENTOS SALARIALES,"4200.000,00","0,00","0,00","4200.000,00","0,00","0,00","0,00",2017,1
1.01.01.07.00.00.000,Credito Adicional para escalafonamiento,"957.413,00","0,00","0,00","957.413,00","0,00","0,00","0,00",2017,1
1.01.02.00.00.00.000,BIENES DE CONSUMO,"7101.000,00","609.099,76","609.099,76","6491.900,24","132.187,88","132.187,88","476.911,88",2017,1
1.01.02.01.01.00.000,PALA CARGADORA MUNICIPAL,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.02.00.000,MOTONIVELADORA MUNICIPAL,"100.000,00","550,00","550,00","99.450,00","0,00","0,00","550,00",2017,1
1.01.02.01.03.00.000,CAMION FORD 14000,"70.000,00","0,00","0,00","70.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.04.00.000,FORD RANGER,"40.000,00","0,00","0,00","40.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.05.00.000,FIAT FIORINO (gobierno),"40.000,00","0,00","0,00","40.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.06.00.000,RENAULT EXPRESS (compras),"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"25.000,00","0,00","0,00","25.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.08.00.000,CAMION COMPACTADOR (RECOL. DE RESIDUOS),"100.000,00","2.655,00","2.655,00","97.345,00","0,00","0,00","2.655,00",2017,1
1.01.02.01.09.00.000,Tractor Hanomag,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.10.00.000,FORD F 100 HIDROELEVADOR (ALUMBRADO),"60.000,00","3.900,06","3.900,06","56.099,94","0,00","0,00","3.900,06",2017,1
1.01.02.01.11.00.000,RENAULT MASTER,"80.000,00","0,00","0,00","80.000,00","0,00","0,00","0,00",2017,1
1.01.02.01.12.00.000,CAMION SCANIA (AGUA),"80.000,00","0,00","0,00","80.000,00","0,00","0,00","0,00",2017,1
